"Quel est votre département ?","Quel est votre âge ?","Êtes-vous agent public ?","Quel est votre genre ?","Quel est votre genre non-binaire ?","Quel est votre statut d’emploi ?","Un coût","De moins en moins accessible","Une nécessité pour affronter la crise climatique","Moins efficace que le privé","Le passé","Ce que nous avons en commun","Des professionnel·le·s de qualité",Pénible,"Ce qui nous permet de tenir pendant la pandémie de COVID-19","Des professionnel·le·s en crise","Le meilleur moyen de réduire les inégalités","Avec quels services publics êtes-vous régulièrement en contact (cochez en autant que vous le voulez) :","Avec quels autres services publics êtes-vous régulièrement en contact ?","Ces dernières années, trouvez-vous que les services publics dont vous avez l’usage :","Quelles sont pour vous les trois priorités pour les services publics ?","Quelle serait pour vous une priorité des services publics ?","Payer plus d'impôts pour améliorer les services publics que vous utilisez","Payer plus d’impôts pour développer de nouveaux services publics","Réduire les services publics pour payer moins d’impôts","Ne payer ni plus ni moins d’impôts et faire avec l’existant","Dans le débat public, la question de l’avenir des services publics vous paraît traitée à la hauteur des enjeux ?","Consentement à l'enregistrement des réponses au questionnaire","Souhaitez-vous :","Pouvez-vous nous raconter la dernière fois que vous avez éprouvé de la reconnaissance pour un service public et pourquoi ?","Pouvez-vous nous raconter votre expérience la plus difficile en lien avec un service public et pourquoi ?","Pouvez-vous nous raconter la dernière fois où vous avez eu l’impression de ne pas avoir pu répondre aux besoins d’une personne ou de la société ? Pourquoi ?","Pouvez-vous nous raconter la dernière fois où vous avez eu l’impression de changer la vie d’une personne ou d’améliorer la vie en commun ? Pourquoi ?","Nous autorisez-vous à publier votre témoignage (anonymisé) ?","Comment voulez-vous que ce témoignage soit signé ?","ID de l’entrée","Champ #65 supprimé","Champ #62 supprimé","Champ #33 supprimé"
84,"entre 30 et 39 ans",Non,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Ne se prononce pas","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
L’information publique (radio France, France télévision)",,"Se sont plutôt dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus simples
Qu’ils soient plus adaptés aux défis écologiques",,"Non, pas du tout d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,390,,,
44,"entre 40 et 49 ans",Oui,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)",,"Se sont plutôt dégradés","Qu’ils s’adaptent mieux aux particularités de ma situation
Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils se développent dans des domaines nouveaux",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,388,,,
01,"entre 40 et 49 ans",Oui,Homme,,"Employé·e (secrétaire, agent de catégorie C…)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)",,"Se sont beaucoup dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Prendre 5 minutes supplémentaires pour nous livrer un témoignage","Ma reconnaissance aux services publics est quotidienne, c'est le pilier essentiel au ""vivre ensemble"". A mon sens, il suffit de partir du principe fondateur de la Sécurité Sociale : ""cotiser selon ses moyens, se soigner selon ses besoins"" avec en prolongement l'Hôpital Public. Cependant, cette philosophie est mise à mal car l'ensemble du système est insuffisamment financé. En effet et selon la cour des comptes, le montant annuel des exonérations de cotisations sociales s'élève à 90 milliards d'euros : un véritable scandale !","La crise sanitaire du COVID-19. Nous avions le meilleur système de santé. Sa lente privatisation par le biais de la tarification à l'activité, de l'avènement de l'hôpital entreprise, de l'abandon de la stratégie de lutte contre les épidémies pour des raisons économiques montre l'extrême limite de l'exercice. De surcroît, cette crise réaffirme la nécessité du service public. En effet, la richesse d'un pays ne se mesure pas uniquement au seul indicateur du PIB mais à la force se ses services publics. Dans cette crise, sans l'Hôpital Public, c'est la catastrophe.","Au quotidien avec la désertification médicale, le manque d'accès au soins pratiquement partout sur le territoire et dans tous les services publics avec la suppression des accueils et numérisation à tout crin qui a mon sens devient dogmatique où le rapport humain est de plus en plus rare.","En participant soit dans mon travail, soit dans le secteur associatif à la vie publique. A mon sens, améliorer la vie commun est l'affaire de tous. Pour qu'il y ait ""une vie en commun"", il convient que chacun fasse un pas vers l'autre et œuvre pour l'autre.","Je consens à ce que le collectif Nos services publics publie sur ce site mon témoignage.","Quidam 01",386,,,
91,"entre 60 et 69 ans",Oui,Femme,,Retraité·e,"Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé
Les transports en commun
Les services des titres (papiers, immatriculation, permis de conduire…)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)
Autre (préciser)",Médiathèque,"Se sont plutôt dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils se développent dans des domaines nouveaux",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,385,,,
40,"entre 30 et 39 ans",Oui,Homme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les forces de l’ordre (police, gendarmerie)
L’hôpital ou le système de santé
Les transports en commun
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)",,"Se sont plutôt dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils se développent dans des domaines nouveaux",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,384,,,
67,"entre 30 et 39 ans",Oui,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord","L’hôpital ou le système de santé
Les transports en commun
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)",,"Se sont plutôt dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples",,"Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,378,,,
75,"entre 30 et 39 ans",Non,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé
Les transports en commun",,"Se sont plutôt dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient davantage présents sur le territoire
Qu’ils se développent dans des domaines nouveaux",,"Non, plutôt pas d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,374,,,
75,"entre 40 et 49 ans",Oui,,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé",,"Se sont plutôt dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils se développent dans des domaines nouveaux",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,372,,,
15,"entre 60 et 69 ans",Oui,Femme,,Retraité·e,"Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé
Les services sociaux (assistant.te.s sociaux, protection de l’enfance, etc.)",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils se développent dans des domaines nouveaux",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,371,,,
92,"70 ans ou plus",Non,Homme,,Retraité·e,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé
L’information publique (radio France, France télévision)",,"Se sont plutôt dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,369,,,
93,"entre 40 et 49 ans",Non,Homme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)
Autre (préciser)","La culture (médiathèques, musée, etc.)","Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus adaptés aux défis écologiques",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Prendre 5 minutes supplémentaires pour nous livrer un témoignage","Ma belle mère est hospitalisée depuis plusieurs mois pour un cancer dont elle se remet peu à peu. L’hôpital public, et le système de santé dans lequel il s'inscrit, continuent à fonctionner dans des conditions de plus en plus difficile et parviennent à mettre en place et administrer des traitements de pointe pour soigner des maladies graves pour un coût individuel dérisoire. Nous sommes nombreux à être encore en vie, sans être endettés, après un séjour court ou long à l'hôpital.","L'expérience dont je souhaite témoigner ici est celle de l'école publique en Seine-Saint-Denis : en grande souffrance, elle laisse énormément d'enfants sur le bord de la route dans des situations de grande négligence (enfants porteurs de handicap non accompagnés, nombreuses absences non remplacées, médecine scolaire moribonde, etc.). Il y a tant à faire et le temps presse. Si le constat date, il est encore apparu de façon aigüe pendant cette crise sanitaire dont nous ne sommes pas encore sortis : les enfants des quartiers populaires ne sont pas traités à égalité avec les autres et cette situation plonge de nombreux parents dans la détresse, qui voit bien l'avenir qui leur est préparé. Tout le monde se rend bien compte que le compte n'y est pas. Le gâchis est énorme.",,,"Je consens à ce que le collectif Nos services publics publie sur ce site mon témoignage.","Thomas, habitant et parent en Seine-Saint-Denis",366,,,
54,"entre 60 et 69 ans",Non,Femme,,Retraité·e,"Ne se prononce pas","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Autre (préciser)","La poste","Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,358,,,
03,"entre 20 et 29 ans",Oui,,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Ne se prononce pas","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Ne se prononce pas","Les forces de l’ordre (police, gendarmerie)
L’hôpital ou le système de santé
Les transports en commun
L’information publique (radio France, France télévision)",,"Se sont plutôt dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils se recentrent sur quelques priorités",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,357,,,
29,"entre 40 et 49 ans",Oui,Femme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les services sociaux (assistant.te.s sociaux, protection de l’enfance, etc.)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus adaptés aux défis écologiques",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, plutôt d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,356,,,
60,"entre 50 et 59 ans",Oui,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’hôpital ou le système de santé
Les transports en commun
Les services des titres (papiers, immatriculation, permis de conduire…)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)",,"Se sont beaucoup dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,354,,,
18,"entre 40 et 49 ans",Oui,Homme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, plutôt pas d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Les forces de l’ordre (police, gendarmerie)
L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les services sociaux (assistant.te.s sociaux, protection de l’enfance, etc.)",,"Se sont plutôt dégradés","Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus simples",,"Oui, plutôt d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,353,,,
44,"entre 50 et 59 ans",Oui,Femme,,"Employé·e (secrétaire, agent de catégorie C…)","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les transports en commun
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)
Autre (préciser)",Culture,"Se sont plutôt dégradés","Qu’ils soient plus attentifs à la situation de mes proches les plus vulnérables
Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire",,"Non, plutôt pas d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,352,,,
44,"entre 30 et 39 ans",Oui,Homme,,"Profession intermédiaire (enseignant.e, technicien·ne, agent·e de maîtrise…)","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","L’éducation nationale ou l’université
L’hôpital ou le système de santé
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
L’information publique (radio France, France télévision)",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils se recentrent sur quelques priorités",,"Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Prendre 5 minutes supplémentaires pour nous livrer un témoignage","Le suivi de ma maladie chronique et en particulier ma transplantation hépatique.","Je traverse des problèmes de santés en ce moment. Il y a 15 ans, je suis quasi sûr que j'aurai été hospitalisé et aurait fait une batterie d'examens. Aujourd'hui c'est étalé sur plusieurs semaines avec le stresse, l'impression d'être parfois abandonné. On doit même se débrouiller à trouver des rdv dans le privé.",,,"Je consens à ce que le collectif Nos services publics publie sur ce site mon témoignage.",Kop,351,,,
31,"entre 40 et 49 ans",Non,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Non, pas du tout d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, plutôt d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
L’information publique (radio France, France télévision)
La justice",,"Se sont beaucoup dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus adaptés aux défis écologiques",,"Oui, tout à fait d’accord","Ne se prononce pas","Non, pas du tout d’accord","Non, pas du tout d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,348,,,
35,"entre 30 et 39 ans",Non,Femme,,"Cadre ou profession intellectuelle supérieure (dont professions libérales)","Ne se prononce pas","Oui, plutôt d’accord","Oui, tout à fait d’accord","Non, pas du tout d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les forces de l’ordre (police, gendarmerie)
L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les services des titres (papiers, immatriculation, permis de conduire…)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)
La justice",,"Se sont plutôt dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus adaptés aux défis écologiques",,"Oui, plutôt d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Prendre 5 minutes supplémentaires pour nous livrer un témoignage","La réception d'une carte européenne d'assurance maladie, les soins apportés sur la santé (suivi, prise en charge, ....), l'accès au transports en commun sur le territoire, la facilité de traitement de mise à jour de mes données à la suite d'un déménagement, ... La reconnaissance générale de vivre dans un pays qui dispose de nombreux services publics dont les agents continuent leurs missions malgré les difficultés rencontrées (adaptation continue à de trop nombreuses réformes), la détérioration de leurs conditions de travail à tout niveau, et le manque de reconnaissance à leur égard","Le démantèlement progressif des services publics avec un acharnement politique/médiatique avec une indifférence générale sur leur devenir, avec un accroissement significatif des inégalités sociales, territoriales, économiques",,,"Je consens à ce que le collectif Nos services publics publie sur ce site mon témoignage.","Morgane, citoyenne",344,,,
75,"70 ans ou plus",Non,Homme,,Retraité·e,"Non, plutôt pas d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Non, plutôt pas d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Oui, tout à fait d’accord","Les forces de l’ordre (police, gendarmerie)
L’éducation nationale ou l’université
L’hôpital ou le système de santé
Les transports en commun
Les services sociaux (assistant.te.s sociaux, protection de l’enfance, etc.)
Les services des titres (papiers, immatriculation, permis de conduire…)
La protection sociale (retraites, CAF, assurance maladie, assurance chômage)
Les finances publiques (impôts, cotisations)
Le service public du logement
Les infrastructures publiques (routes, aéroports, ports, réseaux d’eau et d’électricité, fibre optique…)
La protection de l’environnement (forêts, parcs, espaces naturels, etc)
L’information publique (radio France, France télévision)
La justice",,"Se sont plutôt dégradés","Qu’ils soient plus accessibles à toutes et tous
Qu’ils soient davantage présents sur le territoire
Qu’ils soient plus adaptés aux défis écologiques",,"Oui, tout à fait d’accord","Oui, plutôt d’accord","Non, pas du tout d’accord","Non, plutôt pas d’accord",Non,"Je consens à ce que le collectif Nos services publics collecte et anonymise mes réponses au questionnaire dans le but d'alimenter une enquête d'opinion sur les services publics français.","Envoyer vos réponses au questionnaire",,,,,,,343,,,
